,STNID,ZIP,POSTOFFICE
402,USC00032670,71854,Texarkana
403,USC00032700,72537,Gamaliel
404,USC00032760,72143,Searcy
405,USC00032794,72675,Saint
406,USC00032842,71943,Glenwood
407,USC00032922,72838,Gravelly
408,USC00032930,72736,Gravette
409,USC00032946,72638,Green
410,USC00032962,72058,Greenbrier
411,USC00032978,72581,Tumbling
412,USC00033019,72112,Newport
413,USC00033132,72542,Hardy
414,USC00033164,72601,Harrison
415,USC00033200,72063,Hattieville
416,USC00033242,72342,Helena
417,USC00033361,72740,Huntsville
418,USC00033428,71801,Hope
419,USC00033438,71935,Caddo
420,USC00033442,71842,Horatio
421,USC00033466,71901,Hot
422,USC00033544,72740,Huntsville
423,USC00033704,71909,Hot
424,USC00033734,72401,Jonesboro
425,USC00033821,72351,Keiser
426,USC00033862,72046,England
427,USC00033909,72742,Kingston
428,USC00033910,72740,Huntsville
429,USC00034010,72135,Roland
430,USC00034106,72644,Lead
431,USC00034134,72084,Leola
432,USC00034185,71845,Lewisville
433,USC00034290,72837,Dover
434,USC00034528,72335,Forrest
435,USC00034548,71753,Magnolia
436,USC00034562,72104,Malvern
437,USC00034572,65791,Thayer
438,USC00034638,72360,Marianna
439,USC00034666,72650,Marshall
440,USC00034711,72101,Mc
441,USC00034746,72556,Melbourne
442,USC00034756,71953,Mena
443,USC00034777,72937,Hackett
444,USC00034839,71822,Ashdown
445,USC00034936,71651,Jersey
446,USC00034938,72110,Morrilton
447,USC00034988,71957,Mount
448,USC00035018,72946,Mountainburg
449,USC00035036,72653,Mountain
450,USC00035046,72560,Mountain
451,USC00035079,71958,Murfreesboro
452,USC00035112,71852,Nashville
453,USC00035160,72956,Van
454,USC00035177,71852,Nashville
455,USC00035186,72112,Newport
456,USC00035200,72126,Perryville
457,USC00035354,72717,Canehill
458,USC00035358,71961,Oden
459,USC00035376,71859,Saratoga
460,USC00035498,72019,Benton
461,USC00035508,72949,Ozark
462,USC00035512,72949,Ozark
463,USC00035563,72450,Paragould
464,USC00035591,72950,Parks
465,USC00035691,72125,Perry
466,USC00035754,71603,Pine
467,USC00035760,71961,Oden
468,USC00035820,72455,Pocahontas
469,USC00035831,72432,Harrisburg
470,USC00035866,71663,Portland
471,USC00035900,72753,Prairie
472,USC00035908,71857,Prescott
473,USC00036008,72951,Ratcliff
474,USC00036174,71665,Rison
475,USC00036253,71662,Pickens
476,USC00036376,72029,Clarendon
477,USC00036380,63933,Campbell
478,USC00036393,72760,Saint
479,USC00036403,72576,Salem
480,USC00036506,72081,Judsonia
481,USC00036562,72150,Sheridan
482,USC00036768,71763,Sparkman
483,USC00036918,72160,Stuttgart
484,USC00036920,72160,Stuttgart
485,USC00036928,72855,Paris
486,USC00037038,71861,Taylor
487,USC00037383,71937,Cove
488,USC00037488,72958,Waldron
489,USC00037582,71671,Warren
490,USC00037653,72738,Hindsville
491,USC00037712,72301,West
492,USC00038010,72058,Greenbrier
493,USC00038052,72396,Wynne
494,USC00038084,72687,Yellville
495,USC00040010,95220,Acampo
496,USC00040014,91390,Santa
497,USC00040029,96006,Adin
498,USC00040136,91901,Alpine
499,USC00040144,91001,Altadena
500,USC00040161,96101,Alturas
501,USC00040192,92806,Anaheim
502,USC00040212,94508,Angwin
503,USC00040232,94531,Antioch
504,USC00040235,92539,Anza
505,USC00040343,93271,Three
506,USC00040379,93602,Auberry
507,USC00040383,95603,Auburn
508,USC00040436,92309,Baker
509,USC00040444,93308,Bakersfield
510,USC00040449,93664,Shaver
511,USC00040521,92311,Barstow
512,USC00040673,95005,Ben
513,USC00040684,93512,Benton
514,USC00040693,94704,Berkeley
515,USC00040738,96010,Big
516,USC00040741,92314,Big
517,USC00040755,93664,Shaver
518,USC00040779,93544,Llano
519,USC00040790,93920,Big
520,USC00040798,91042,Tujunga
521,USC00040819,93514,Bishop
522,USC00040850,95014,Cupertino
523,USC00040924,92225,Blythe
524,USC00040931,96111,Floriston
525,USC00040943,93517,Bridgeport
526,USC00040983,92004,Borrego
527,USC00041010,91905,Boulevard
528,USC00041018,95959,Nevada
529,USC00041048,92227,Brawley
530,USC00041072,93517,Bridgeport
531,USC00041080,95526,Bridgeville
532,USC00041130,95916,Berry
533,USC00041149,96065,Montgomery
534,USC00041159,95915,Belden
535,USC00041214,96013,Burney
536,USC00041244,93206,Buttonwillow
537,USC00041253,93105,Santa
538,USC00041277,95223,Arnold
539,USC00041288,92249,Heber
540,USC00041312,94515,Calistoga
541,USC00041316,96014,Callahan
542,USC00041428,95252,Valley
543,USC00041476,96015,Canby
544,USC00041484,91306,Winnetka
545,USC00041497,95923,Canyon
546,USC00041534,93924,Carmel
547,USC00041606,96031,Forks
548,USC00041614,96104,Cedarville
549,USC00041680,91311,Chatsworth
550,USC00041697,95321,Groveland
551,USC00041700,96020,Chester
552,USC00041715,95928,Chico
553,USC00041738,92239,Desert
554,USC00041754,93225,Frazier
555,USC00041758,91910,Chula
556,USC00041806,95457,Lower
557,USC00041838,95425,Cloverdale
558,USC00041864,93210,Coalinga
559,USC00041878,93614,Coarsegold
560,USC00041907,96007,Anderson
561,USC00041912,95713,Colfax
562,USC00041916,95935,Dobbins
563,USC00041948,95932,Colusa
564,USC00041967,94520,Concord
565,USC00041990,96064,Montague
566,USC00042012,93212,Corcoran
567,USC00042081,95428,Covelo
568,USC00042090,91722,Covina
569,USC00042147,95531,Crescent
570,USC00042198,91702,Azusa
571,USC00042214,90034,Los
572,USC00042239,91916,Descanso
573,USC00042294,95616,Davis
574,USC00042319,92328,Death
575,USC00042327,92260,Palm
576,USC00042331,93513,Big
577,USC00042338,95959,Nevada
578,USC00042346,93215,Delano
579,USC00042402,95954,Magalia
580,USC00042406,91916,Descanso
581,USC00042410,92239,Desert
582,USC00042456,95935,Dobbins
583,USC00042467,96161,Truckee
584,USC00042494,90241,Downey
585,USC00042500,95936,Downieville
586,USC00042504,96109,Doyle
587,USC00042506,96109,Doyle
588,USC00042574,96025,Dunsmuir
589,USC00042598,92239,Desert
590,USC00042640,95979,Stonyford
591,USC00042671,96150,South
592,USC00042706,92020,El
593,USC00042709,92040,Lakeside
594,USC00042713,92243,El
595,USC00042728,95642,Jackson
596,USC00042756,93541,Lee
597,USC00042760,95632,Galt
598,USC00042771,92301,Adelanto
599,USC00042805,92530,Lake
600,USC00042863,92026,Escondido
601,USC00042920,95338,Mariposa
602,USC00042934,94534,Fairfield
603,USC00042941,93532,Lake
604,USC00042964,96028,Fall
605,USC00043038,95629,Fiddletown
606,USC00043083,93234,Huron
607,USC00043113,95630,Folsom
608,USC00043134,95631,Foresthill
609,USC00043157,96104,Cedarville
610,USC00043161,95437,Fort
611,USC00043191,95421,Cazadero
612,USC00043244,94536,Fremont
613,USC00043256,93727,Fresno
614,USC00043261,93626,Friant
615,USC00043357,95543,Gasquet
616,USC00043369,93529,June
617,USC00043384,95634,Georgetown
618,USC00043392,90049,Los
619,USC00043402,93105,Santa
620,USC00043417,95020,Gilroy
621,USC00043452,91741,Glendora
622,USC00043463,93226,Glennville
623,USC00043489,92283,Winterhaven
624,USC00043491,95714,Dutch
625,USC00043498,92310,Fort
626,USC00043551,93603,Badger
627,USC00043573,95945,Grass
628,USC00043578,95444,Graton
629,USC00043614,96032,Fort
630,USC00043647,95528,Carlotta
631,USC00043669,95321,Groveland
632,USC00043672,95321,Groveland
633,USC00043710,93555,Ridgecrest
634,USC00043714,94019,Half
635,USC00043747,93230,Hanford
636,USC00043800,95918,Browns
637,USC00043824,96016,Cassel
638,USC00043855,92239,Desert
639,USC00043875,95448,Healdsburg
640,USC00043878,95448,Healdsburg
641,USC00043882,93452,San
642,USC00043896,92544,Hemet
643,USC00043914,92070,Santa
644,USC00043939,95321,Groveland
645,USC00044025,95023,Hollister
646,USC00044176,93664,Shaver
647,USC00044211,92549,Idyllwild
648,USC00044223,92251,Imperial
649,USC00044232,93526,Independence
650,USC00044259,92236,Coachella
651,USC00044278,93527,Inyokern
652,USC00044288,95631,Foresthill
653,USC00044297,92280,Vidal
654,USC00044303,92602,Irvine
655,USC00044374,96116,Likely
656,USC00044405,92252,Joshua
657,USC00044412,92036,Julian
658,USC00044422,93105,Santa
659,USC00044484,95633,Garden
660,USC00044500,94960,San
661,USC00044523,93285,Wofford
662,USC00044534,93239,Kettleman
663,USC00044536,93204,Avenal
664,USC00044555,93930,King
665,USC00044577,95548,Klamath
666,USC00044628,91011,La
667,USC00044647,92651,Laguna
668,USC00044671,92321,Cedar
669,USC00044705,93514,Bishop
670,USC00044710,92040,Lakeside
671,USC00044712,95694,Winters
672,USC00044713,95715,Emigrant
673,USC00044735,91941,La
674,USC00044838,96134,Tulelake
675,USC00044863,93243,Lebec
676,USC00044867,90265,Malibu
677,USC00044881,93541,Lee
678,USC00044890,93286,Woodlake
679,USC00044957,93247,Lindsay
680,USC00044997,94551,Livermore
681,USC00045026,93262,Sequoia
682,USC00045032,95240,Lodi
683,USC00045064,93436,Lompoc
684,USC00045107,93427,Buellton
685,USC00045118,93635,Los
686,USC00045119,93635,Los
687,USC00045120,93635,Los
688,USC00045123,95030,Los
689,USC00045147,93105,Santa
690,USC00045218,92407,San
691,USC00045233,93637,Madera
692,USC00045280,93546,Mammoth
693,USC00045311,96071,Old
694,USC00045352,95338,Mariposa
695,USC00045356,96120,Markleeville
696,USC00045360,94558,Napa
697,USC00045378,94553,Martinez
698,USC00045385,95901,Marysville
699,USC00045400,95321,Groveland
700,USC00045449,96057,McCloud
701,USC00045502,92254,Mecca
702,USC00045532,95341,Merced
703,USC00045598,95461,Middletown
704,USC00045679,00038,East
705,USC00045721,92309,Baker
706,USC00045756,93501,Mojave
707,USC00045790,90640,Montebello
708,USC00045795,93944,Monterey
709,USC00045802,93940,Monterey
710,USC00045853,95037,Morgan
711,USC00045866,93442,Morro
712,USC00045890,92364,Nipton
713,USC00045892,92364,Nipton
714,USC00045915,94517,Clayton
715,USC00045933,95140,Mount
716,USC00045968,91962,Pine
717,USC00046006,91011,La
718,USC00046027,94941,Mill
719,USC00046074,94558,Napa
720,USC00046136,95959,Nevada
721,USC00046144,94560,Newark
722,USC00046154,93254,New
723,USC00046161,91381,Stevenson
724,USC00046162,91321,Newhall
725,USC00046168,95360,Newman
726,USC00046172,95222,Angels
727,USC00046174,95222,Angels
728,USC00046175,92625,Corona
729,USC00046194,95674,Rio
730,USC00046197,92233,Calipatria
731,USC00046252,93643,North
732,USC00046263,91325,Northridge
733,USC00046328,96050,Klamath
734,USC00046329,96050,Klamath
735,USC00046336,94606,Oakland
736,USC00046370,95465,Occidental
737,USC00046377,92058,Oceanside
738,USC00046386,92004,Borrego
739,USC00046390,92259,Ocotillo
740,USC00046399,93023,Ojai
741,USC00046498,95555,Orick
742,USC00046506,95963,Orland
743,USC00046508,95556,Orleans
744,USC00046521,95966,Oroville
745,USC00046569,93030,Oxnard
746,USC00046572,93030,Oxnard
747,USC00046597,95726,Pollock
748,USC00046599,94044,Pacifica
749,USC00046602,91342,Sylmar
750,USC00046610,95023,Hollister
751,USC00046624,93550,Palmdale
752,USC00046635,92264,Palm
753,USC00046646,94301,Palo
754,USC00046650,93924,Carmel
755,USC00046657,92059,Pala
756,USC00046663,90274,Palos
757,USC00046675,95023,Hollister
758,USC00046685,95928,Chico
759,USC00046699,92267,Parker
760,USC00046719,91101,Pasadena
761,USC00046726,96021,Corning
762,USC00046730,93446,Paso
763,USC00046773,93543,Littlerock
764,USC00046826,94954,Petaluma
765,USC00046896,93633,Kings
766,USC00046926,95043,Paicines
767,USC00046940,93015,Fillmore
768,USC00046943,93449,Pismo
769,USC00046944,96028,Fall
770,USC00046946,96065,Montgomery
771,USC00046960,95619,Diamond
772,USC00046962,95667,Placerville
773,USC00047050,91768,Pomona
774,USC00047077,93257,Porterville
775,USC00047085,96122,Portola
776,USC00047109,95469,Potter
777,USC00047111,92064,Poway
778,USC00047150,93450,San
779,USC00047195,95971,Quincy
780,USC00047228,92065,Ramona
781,USC00047253,93519,Cantil
782,USC00047293,96080,Red
783,USC00047298,96002,Redding
784,USC00047306,92373,Redlands
785,USC00047339,94061,Redwood
786,USC00047370,95630,Folsom
787,USC00047404,95542,Garberville
788,USC00047414,94801,Richmond
789,USC00047470,92506,Riverside
790,USC00047473,92506,Riverside
791,USC00047581,96008,Bella
792,USC00047641,96161,Truckee
793,USC00047643,94574,Saint
794,USC00047668,93901,Salinas
795,USC00047672,93453,Santa
796,USC00047681,93436,Lompoc
797,USC00047689,95255,West
798,USC00047723,92404,San
799,USC00047731,93924,Carmel
800,USC00047741,92107,San
801,USC00047749,91773,San
802,USC00047767,94116,San
803,USC00047776,91010,Duarte
804,USC00047779,91702,Azusa
805,USC00047785,91108,San
806,USC00047807,94074,San
807,USC00047813,92583,San
808,USC00047821,95112,San
809,USC00047836,92675,San
810,USC00047846,95322,Gustine
811,USC00047851,93405,San
812,USC00047874,92025,Escondido
813,USC00047880,94901,San
814,USC00047888,92701,Santa
815,USC00047902,93101,Santa
816,USC00047916,95062,Santa
817,USC00047933,93453,Santa
818,USC00047953,90401,Santa
819,USC00047957,93060,Santa
820,USC00047965,95404,Santa
821,USC00048014,91384,Castaic
822,USC00048025,96031,Forks
823,USC00048045,95562,Rio
824,USC00048135,96001,Redding
825,USC00048163,95589,Whitethorn
826,USC00048200,92384,Shoshone
827,USC00048207,96125,Sierra
828,USC00048218,96126,Sierraville
829,USC00048273,95014,Cupertino
830,USC00048317,92561,Mountain
831,USC00048351,95476,Sonoma
832,USC00048353,95327,Jamestown
833,USC00048380,93623,Fish
834,USC00048406,93514,Bishop
835,USC00048490,95585,Leggett
836,USC00048560,95207,Stockton
837,USC00048580,95939,Elk
838,USC00048587,95939,Elk
839,USC00048606,95981,Strawberry
840,USC00048655,92584,Menifee
